Plant_ID,Site,Location,Quadrat,Species,Date_Planted,Date_Measured,Age_Months,Height_cm,Num_Leaves,Flowering,Num_Flowers,Condition,Notes
,site_b,Loc_2,Q3,Coprosma robusta,21/11/2017,12/28/18,,117,91,FALSE,0,great condition,Height measurement may be in error; recheck next visit. Loam soil exposed at base.
,SITE_B,LOC1,Q02,Pittosporum tenuifolium,9/23/21,30/11/21,,143,179,YES,29,,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,Site_B,Loc_1,Q3,Coprosma robusta,6/26/22,20/08/2023,,67,46,TRUE,29,OK,Weed pressure moderate. Plant coping.
,Site_B,Loc_3.,Q6,Coprosma robusta,26/3/2017,25/3/19,,33,34,0,0,OK,Tradescantia spreading from west. Competition increasing significantly.
,Site_B,LOC_1,Q6,Leptospermum scoparium,12/7/19,9/2/21,,130,-51,n,0,not too bad,Weed pressure reducing light to lower leaves. Growth slowing.
,Site_a,LOC_1,Q1,Pseudopanax crassifolius,17/7/17,23.10.18,,30,223,y,11,Good,Dense ground cover competing. Grass encroaching from all sides.
,Site_B,Loc-1,Q3,Coprosma robusta,13/02/2017,23/12/2017,,59,243,No,0,Poor,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,Site A,Loc_2,Q4,Phormium tenax,4/8/21,8/1/22,,84,16,Y,7,Reasonable,Windburn on leaves. Stem very solid.
,Site_B,loc_2,Q2,Leptospermum scoparium,3/9/21,20.05.23,,124,189,no,0,excellent,Weeds encroaching from all sides. Annual weed clear recommended.
,Site_b,Loc_3,Q3a,Leptospermum scoparium,11/10/20,13/6/21,,76,128,YES,34,Average,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,Site_B,Loc_3,Q01,Leptospermum scoparium,20/1/2018,22/8/18,,39,161,NO,0,poor,Grass encroaching from north. Hand pull recommended.
,Site_A,loc_4,Q1.,Coprosma robusta,11/9/24,24/7/25,,96,184,0,0,Poor,Berries present; fruiting plant.
,Site_B,LOC_4,Q3,Phormium tenax,10/8/21,8/4/23,,135,246,NO,0,great condition,Possibly dead; no new growth visible. Bark peeling from lower stem. Check at next visit.
,Site_B,Loc_1,Q3,Coprosma robusta,8-Mar,29/2/2020,,81,216,FALSE,0,poor,Leaf count may be inflated; plant very bushy with dense branching. Recount recommended.
,SiteB,LOC2,Q6,Phormium tenax,9/16/23,19.12.23,,152,120,no,0,Reasonable,Tradescantia spreading from west. Competition increasing significantly.
,SITE_A,LOC2,Q3,Pittosporum tenuifolium,20/1/24,14.11.25,,101,27,TRUE,22,in decline,Excellent specimen. Bird droppings on upper leaves; likely a perch site.
,Site B,Loc_4,Q4,Phormium tenax,8/7/24,19-Sep,,128,204,YES,4,Fair,Tradescantia coverage increasing rapidly. Urgent attention needed.
,Site_A,LOC1,Q1.,Phormium tenax,23.04.19,27/7/19,,173,67,Y,16,,Height measurement may be in error; recheck next visit. Loam soil exposed at base.
,Site_A,Loc_1,Q03,Pseudopanax crassifolius,24/5/2022,6/12/23,,32,35,FALSE,0,needs attention,Windburn on leaves. Stem very solid.
,Site_B,Loc_2,Q5,Hebe specios,7/10/19,23/4/2021,,,118,Yes,10,could be better,Dense gorse noted 5m north. Not yet encroaching but monitoring required.
,Site_B,Loc_2,q3,Pittosporum tenifolium,21/9/24,5/4/25,,72,89,FALSE,0,struggling,Oxalis and clover present. Competing for light at base.
,Site_A,Loc-2,Q6,Leptospermum scoparium,13/10/21,27-Apr,,105,42,FALSE,0,excellent,Pukeko tracks in mud nearby. Ground cover looking healthy.
,Site_B,Loc_1,Q6,Leptospermum scoparium,6/12/24,20/12/2024,,44,171,Yes,21,reasonable,Very exposed ridge position. Windburn on uppermost leaves. Stem diameter looks good.
,Site_B,Loc-3,quad3,Coprosma robusta,18/7/2019,19/4/2021,,118,,0,0,POOR,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,site_b,Loc_3,Q5.,Leptospermum scoparium,21/06/2018,28/4/2019,,53,146,n,0,Excellent,Heavy kikuyu pressure from east side. Root zone likely affected.
,Site_A,LOC_2,Q06,Coprosma robusta,10/5/17,5/28/18,,75,102,FALSE,0,,Gecko under adjacent rock. No new growth concerns.
,Site_A,Location_3,Q6,Leptospermum scoparium,21/5/19,6/11/19,,97,58,FALSE,0,good,Berries present; fruiting plant.
,Site_B,Loc_3,Q3.,Pseudopanax crassifolius,25.07.24,23.03.25,,56,203,FALSE,0,Reasonable,"Standing water, well draining. Plant vigorous."
,Site B,Loc_1,Q4,Pittosporum tenuifolium,25-Nov,18/9/25,,120,222,Yes,14,very poor,Oxalis and clover present. Competing for light at base.
,SiteB,Loc_3,Q2,Pittosporum tenuifolium,7/8/19,19/05/2021,,145,19,FALSE,0,struggling,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,Site_B,Loc_2,Q4,Hebe speciosa,7/1/17,1/14/18,,150,101,TRUE,9,Fair,Bindweed wrapped around lower branch. Removed during visit.
,Site_b,Loc_2,Q5,Leptosperumm scoparium,27/3/18,24/02/2020,,104,109,n,0,struggling,Weed mat placed around base. Check next visit for effectiveness.
,site_B,Loc-1,quad5,Pseudopanax crassifolius,10/9/24,11/7/25,,68,12.3,TRUE,23,could be dead,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,Site B,Loc_1,Q3,Hebe speciosa,24/12/2021,8-Jun,,36,142,n,0,looking great,Not sure of species ID; leaf shape atypical for this species. Check ID next visit.
,Site_B,Loc_4,Q3,Leptospermum scoparium,20/10/2024,06.04.25,,48,151,Y,33,Reasonable,Kikuyu removed during visit. Exposed root damage minor.
,Site_B,Loc_4,Q6a,Pittosporun tenuifolium,1/4/21,2/9/22,,159,58,NO,0,POOR,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,site_A,loc_4,Q4,Hebe speciosa,3/25/20,4/8/20,,24,35,Y,35,thriving,Standing water present in shallow depression 2m to south.
,site_b,Loc_1,Q1,Phormium tenax,17/5/2020,14-Oct,,184,43,n,0,Excellent,Height not recorded; measuring tape misplaced during visit.
,Site_A,Loc_1,Q3,Phormium tenax,10-Mar,12/5/23,,292,214,y,7,Excellent,Bindweed removed from stem during visit. Will recheck next survey.
,Site_B,loc_1,Q3,Coprosma robusta,,29-Jan,,118,185,FALSE,0,POOR,Condition not assessed; area inaccessible due to wet ground.
,Site_A,loc_04,Q4,Hebe speciosa,3/3/21,28/3/22,,69,185,FALSE,0,thriving,Soil cracked around stem. Plant possibly stressed from dry conditions.
,Site_B,Location_3,Q3,Hebe speciosa,10/11/20,20/9/2021,,19,262,NO,0,not great,Grass encroaching from north. Hand pull recommended.
,site_B,Loc_3,Q4,Coprosma robusta,15-Oct,25/10/2018,,10.2,204,TRUE,22,fair,Some couch grass at root zone. Otherwise healthy.
,Site_A,LOC2,Q 5,Coprosma robusta,4/7/17,16/2/18,,82,199,Y,35,not too bad,Kikuyu removed during visit. Exposed root damage minor.
